Date,NIFTY 50 Closing Price,NIFTY 50 Log Return,XAU/INR (Gold) Closing Price,XAU/INR (Gold) Log Return,USD/INR Closing Price,USD/INR Log Return,10-Year BOND YIELD Closing Price,10-Year BOND YIELD Log Return,INDIA VIX Closing Price
11/11/2024,"24,141.30",0.0107383,"2,16,549",0.00148,84.461,0.000438168,6.785,-0.01,14.27
11/08/2024,"24,148.20",0.0002858,"2,17,160",0.00282,84.416,-0.000532932,6.774,-0.011,14.47
11/07/2024,"24,199.35",0.0021159,"2,19,219",0.00944,84.38,-0.00042655,6.796,0.022,14.94
11/06/2024,"24,484.05",0.0116961,"2,20,876",0.00753,84.379,-1.19E-05,6.798,0.002,14.8675
11/05/2024,"24,213.30",-0.0111198,"2,26,497",0.02513,84.395,0.000189603,6.799,0.001,16.1225
11/04/2024,"23,995.35",-0.009042,"2,28,052",0.00684,84.293,-0.001209333,6.797,-0.002,16.6875
11/01/2024,"24,304.35",0.0127953,"2,24,146",-0.01728,84.31,0.000201657,6.841,0.044,15.9025
10/31/2024,"24,205.35",-0.0040817,"2,30,775",0.02915,84.109,-0.002386905,6.827,-0.014,15.55
10/30/2024,"24,340.85",0.0055823,"2,30,127",-0.00281,84.13,0.000249645,6.847,0.02,15.51
10/29/2024,"24,466.85",0.0051631,"2,30,042",-0.00037,84.08,-0.000594495,6.861,0.014,14.515
10/28/2024,"24,339.15",-0.005233,"2,30,649",0.00264,84.061,-0.000226001,6.845,-0.016,14.29
10/25/2024,"24,180.80",-0.0065272,"2,34,349",0.01591,84.08,0.000226001,6.822,-0.023,14.6325
10/24/2024,"24,399.40",0.0089996,"2,33,193",-0.00495,84.05,-0.000356867,6.818,-0.004,13.97
10/23/2024,"24,435.50",0.0014785,"2,30,496",-0.01163,84.06,0.00011897,6.832,0.014,14.6225
10/22/2024,"24,472.10",0.0014967,"2,31,067",0.00247,84.095,0.000416283,6.837,0.005,14.395
10/21/2024,"24,781.10",0.0125476,"2,29,872",-0.00519,84.05,-0.000535252,6.809,-0.028,13.7625
10/18/2024,"24,854.05",0.0029395,"2,28,152",-0.00751,84.056,7.14E-05,6.784,-0.025,13.0375
10/17/2024,"24,749.85",-0.0042013,"2,31,073",0.01272,84.07,0.000166542,6.773,-0.011,13.3875
10/16/2024,"24,971.30",0.0089077,"2,28,583",-0.01083,84.07,0,6.769,-0.004,13.0525
10/15/2024,"25,057.35",0.00344,"2,28,756",0.00076,84.065,-5.95E-05,6.782,0.013,13.0025
10/14/2024,"25,127.95",0.0028136,"2,26,275",-0.0109,84.035,-0.00035693,6.788,0.006,12.995
10/11/2024,"24,964.25",-0.006536,"2,24,495",-0.0079,84.03,-5.95E-05,6.776,-0.012,13.22
10/10/2024,"24,998.45",0.001369,"2,23,664",-0.00371,84.04,0.000118998,6.766,-0.01,13.495
10/09/2024,"24,981.95",-0.0006603,"2,22,594",-0.0048,84.045,5.95E-05,6.806,0.04,14.1225
10/08/2024,"25,013.15",0.0012481,"2,23,371",0.00348,84.101,0.000666088,6.846,0.04,14.5875
10/07/2024,"24,795.75",-0.0087294,"2,20,620",-0.01239,83.94,-0.0019162,6.829,-0.017,15.08
10/04/2024,"25,014.60",0.0087874,"2,18,918",-0.00774,83.95,0.000119126,6.777,-0.052,14.1275
10/03/2024,"25,250.10",0.0093705,"2,20,062",0.00521,83.945,-5.96E-05,6.732,-0.045,13.17
10/01/2024,"25,796.90",0.0214242,"2,21,887",0.00826,83.98,0.000416853,6.75,0.018,11.9875
09/30/2024,"25,810.85",0.0005406,"2,22,933",0.0047,84.023,0.000511896,6.759,0.009,12.7875
09/27/2024,"26,178.95",0.0141607,"2,23,030",0.00044,83.99,-0.000392827,6.718,-0.041,11.9625
09/26/2024,"26,216.05",0.0014162,"2,23,032",0.00001,83.92,-0.00083378,6.738,0.02,12.0025
09/25/2024,"26,004.15",-0.0081157,"2,23,361",0.00147,83.9,-0.000238351,6.761,0.023,12.7425
09/24/2024,"25,940.40",-0.0024545,"2,20,641",-0.01225,83.755,-0.001729743,6.767,0.006,13.3925
09/23/2024,"25,939.05",-0.000052,"2,22,498",0.00838,83.71,-0.000537426,6.761,-0.006,13.785
09/20/2024,"25,790.95",-0.0057259,"2,23,395",0.00402,83.601,-0.001302963,6.758,-0.003,12.79
09/19/2024,"25,415.80",-0.0146526,"2,22,117",-0.00574,83.6,-1.20E-05,6.779,0.021,12.47
09/18/2024,"25,377.55",-0.0015061,"2,22,098",-0.00009,83.6,0,6.762,-0.017,13.3725
09/17/2024,"25,418.55",0.0016143,"2,19,459",-0.01195,83.53,-0.000837671,6.792,0.03,12.59
09/16/2024,"25,383.75",-0.00137,"2,18,894",-0.00258,83.485,-0.000538874,6.811,0.019,12.46
09/13/2024,"25,356.50",-0.0010741,"2,16,270",-0.01206,83.62,0.001615751,6.83,0.019,12.55
09/12/2024,"25,388.90",0.001277,"2,14,035",-0.01039,83.65,0.000358702,6.851,0.021,13.1825
09/11/2024,"24,918.45",-0.0187036,"2,15,164",0.00526,83.747,0.001158922,6.854,0.003,13.6275
09/10/2024,"25,041.10",0.00491,"2,16,408",0.00576,83.84,0.001109871,6.854,0,13.36
09/09/2024,"24,936.40",-0.0041899,"2,16,215",-0.00089,83.88,0.000476985,6.855,0.001,14.2375
09/06/2024,"24,852.15",-0.0033843,"2,14,710",-0.00699,83.92,0.000476758,6.859,0.004,15.2175
09/05/2024,"25,145.10",0.0117188,"2,10,878",-0.01801,83.96,0.000476531,6.87,0.011,14.2075
09/04/2024,"25,198.70",0.0021294,"2,11,172",0.00139,83.949,-0.000131023,6.876,0.006,14.3775
09/03/2024,"25,279.85",0.0032152,"2,10,238",-0.00443,83.928,-0.000250183,6.863,-0.013,13.8425
09/02/2024,"25,278.70",-0.0000455,"2,09,713",-0.0025,83.985,0.000678923,6.864,0.001,14.06
08/30/2024,"25,235.90",-0.0016946,"2,11,290",0.00749,83.961,-0.000285806,6.861,-0.003,13.3925
08/29/2024,"25,151.95",-0.0033322,"2,09,483",-0.00859,83.96,-1.19E-05,6.861,0,13.7875
08/28/2024,"25,052.35",-0.0039678,"2,09,186",-0.00142,83.95,-0.000119111,6.851,-0.01,13.95
08/27/2024,"25,017.75",-0.0013821,"2,09,640",0.00217,83.88,-0.000834177,6.859,0.008,13.6325
08/26/2024,"25,010.60",-0.0002858,"2,09,922",0.00134,83.867,-0.000154995,6.852,-0.007,13.795
08/23/2024,"24,823.15",-0.007523,"2,11,478",0.00738,83.88,0.000154995,6.853,0.001,13.5525
08/22/2024,"24,811.50",-0.0004694,"2,10,114",-0.00647,83.9,0.000238407,6.856,0.003,13
08/21/2024,"24,770.20",-0.0016659,"2,11,734",0.00768,83.91,0.000119182,6.864,0.008,13.3325
08/20/2024,"24,698.85",-0.0028846,"2,11,099",-0.003,83.84,-0.000834575,6.867,0.003,13.82
08/19/2024,"24,572.65",-0.0051226,"2,10,540",-0.00265,83.809,-0.00036982,6.858,-0.009,14.315
08/16/2024,"24,541.15",-0.0012827,"2,08,443",-0.01001,83.93,0.001442718,6.88,0.022,14.4025
08/14/2024,"24,143.75",-0.0163258,"2,10,593",0.01026,83.87,-0.000715137,6.879,-0.001,15.435
08/13/2024,"24,139.00",-0.0001968,"2,10,444",-0.00071,83.75,-0.00143181,6.88,0.001,16.1675
08/12/2024,"24,347.00",0.0085798,"2,09,977",-0.00222,83.85,0.001193318,6.877,-0.003,15.8675
08/09/2024,"24,367.50",0.0008416,"2,10,337",0.00171,83.88,0.000357718,6.862,-0.015,15.335
08/08/2024,"24,117.00",-0.0103333,"2,06,225",-0.01974,83.94,0.000715052,6.872,0.01,16.6025
08/07/2024,"24,297.50",0.0074565,"2,05,484",-0.0036,83.96,0.000238237,6.86,-0.012,16.17
08/06/2024,"23,992.55",-0.0126301,"2,06,821",0.00649,83.91,-0.000595699,6.9,0.04,18.7425
08/05/2024,"24,055.60",0.0026245,"2,07,289",0.00226,83.93,0.000238322,6.916,0.016,20.3675
08/02/2024,"24,717.70",0.0271518,"2,04,064",-0.01568,83.945,0.000178704,6.924,0.008,14.32
08/01/2024,"25,010.90",0.0117921,"2,03,865",-0.00098,83.99,0.000535922,6.931,0.007,12.93
07/31/2024,"24,951.15",-0.0023918,"1,99,888",-0.0197,83.885,-0.001250931,6.919,-0.012,13.25
07/30/2024,"24,857.30",-0.0037684,"2,00,626",0.00369,83.93,0.000536305,6.94,0.021,12.88
07/29/2024,"24,836.10",-0.0008532,"2,02,554",0.00956,84.018,0.001047944,6.952,0.012,12.945
07/26/2024,"24,834.85",-0.0000503,"2,04,737",0.01072,83.794,-0.002669656,6.964,0.012,12.2475
07/25/2024,"24,406.10",-0.0174148,"2,04,653",-0.00041,83.71,-0.001002961,6.97,0.006,12.6175
07/24/2024,"24,413.50",0.0003032,"2,04,775",0.0006,83.699,-0.000131415,6.967,-0.003,11.7625
07/23/2024,"24,479.05",0.0026814,"2,01,621",-0.01552,83.72,0.000250868,6.965,-0.002,12.7475
07/22/2024,"24,509.25",0.0012329,"1,99,649",-0.00983,83.748,0.000334392,6.966,0.001,15.4375
07/19/2024,"24,530.90",0.000883,"1,99,783",0.00067,83.703,-0.000537471,6.966,0,14.825
07/18/2024,"24,800.85",0.0109444,"1,97,926",-0.00934,83.72,0.000203078,6.981,0.015,14.51
07/16/2024,"24,613.00",-0.0076032,"2,00,624",0.01354,83.71,-0.000119453,6.986,0.005,14.2225
07/15/2024,"24,586.70",-0.0010691,"2,01,523",0.00447,83.676,-0.000406247,6.982,-0.004,14.1875
07/12/2024,"24,502.15",-0.0034448,"2,00,461",-0.00528,83.651,-0.000298816,6.976,-0.006,13.725
07/11/2024,"24,315.95",-0.0076284,"2,01,004",0.00271,83.724,0.000872293,6.989,0.013,13.995
07/10/2024,"24,324.45",0.0003495,"2,04,371",0.01661,83.58,-0.001721418,6.989,0,14.4325
07/09/2024,"24,433.20",0.0044608,"2,05,408",0.00506,83.58,0,6.993,0.004,14.28
07/08/2024,"24,320.55",-0.0046212,"2,06,198",0.00384,83.524,-0.000670241,6.998,0.005,13.6
07/05/2024,"24,323.85",0.0001357,"2,02,371",-0.01873,83.551,0.000323208,7.001,0.003,12.695
07/04/2024,"24,302.15",-0.0008925,"2,01,363",-0.00499,83.513,-0.000454915,7.009,0.008,12.855
07/03/2024,"24,286.50",-0.0006442,"2,01,667",0.00151,83.507,-7.18E-05,7.013,0.004,13.205
07/02/2024,"24,123.85",-0.0067197,"1,98,003",-0.01834,83.51,3.59E-05,7.008,-0.005,13.64
07/01/2024,"24,141.95",0.00075,"1,97,299",-0.00356,83.465,-0.000539003,7,-0.008,13.83
06/28/2024,"24,010.60",-0.0054556,"1,96,951",-0.00177,83.5,0.00041925,6.997,-0.003,13.8025
06/27/2024,"24,044.50",0.0014109,"1,99,688",0.0138,83.5,0,6.983,-0.014,14.1525
06/26/2024,"23,868.80",-0.0073341,"1,96,677",-0.01519,83.475,-0.000299446,6.971,-0.012,14.045
06/25/2024,"23,721.30",-0.0061988,"1,96,755",0.0004,83.52,0.000538938,6.973,0.002,14.3125
06/24/2024,"23,537.85",-0.0077636,"1,94,497",-0.01154,83.5,-0.000239492,6.976,0.003,14.0575
06/21/2024,"23,501.10",-0.0015625,"1,94,534",0.00019,83.438,-0.000742791,6.974,-0.002,13.18
06/20/2024,"23,567.00",0.0028002,"1,93,935",-0.00308,83.355,-0.000995246,6.981,0.007,13.345
06/19/2024,"23,516.00",-0.0021664,"1,94,213",0.00143,83.438,0.000995246,6.984,0.003,13.7125
06/18/2024,"23,557.90",0.0017802,"1,91,892",-0.01202,83.56,0.001461096,6.986,0.002,12.965
06/14/2024,"23,465.60",-0.0039257,"1,93,423",0.00795,83.403,-0.001880657,7.012,0.026,12.8225
06/13/2024,"23,398.90",-0.0028465,"1,94,679",0.00647,83.45,0.00056337,7.014,0.002,13.4875
06/12/2024,"23,322.95",-0.0032512,"1,93,994",-0.00352,83.558,0.001293351,7.032,0.018,14.3875
06/11/2024,"23,264.85",-0.0024942,"1,97,342",0.01711,83.62,0.000741724,7.018,-0.014,14.765
06/10/2024,"23,259.20",-0.0002429,"1,94,154",-0.01629,83.46,-0.001915251,7.015,-0.003,16.3975
06/07/2024,"23,290.15",0.0013298,"1,94,075",-0.00041,83.33,-0.001558847,7.026,0.011,16.8825
06/06/2024,"22,821.40",-0.0203318,"1,93,529",-0.00282,83.5,0.002038003,7.033,0.007,16.8
06/05/2024,"22,620.35",-0.0088487,"1,94,875",0.00693,83.547,0.000562716,6.947,-0.086,18.885
06/04/2024,"21,884.50",-0.0330713,"1,92,431",-0.01262,83.54,-8.38E-05,6.986,0.039,26.7475
06/03/2024,"23,263.90",0.0611242,"1,93,796",0.00707,83.43,-0.001317602,7.003,0.017,20.9375
05/31/2024,"22,530.70",-0.032024,"1,93,684",-0.00058,83.6,0.002035563,7.008,0.005,24.6025
05/30/2024,"22,488.65",-0.0018681,"1,92,877",-0.00418,83.5,-0.001196888,6.995,-0.013,24.175
05/29/2024,"22,704.70",0.0095612,"1,91,494",-0.0072,83.521,0.000251465,6.981,-0.014,24.175
05/28/2024,"22,888.15",0.0080474,"1,98,303",0.03494,83.466,-0.000658734,6.998,0.017,24.195
05/27/2024,"22,932.45",0.0019336,"1,96,231",-0.0105,83.37,-0.001150831,6.997,-0.001,23.1925
05/24/2024,"22,957.10",0.0010743,"1,94,264",-0.01007,83.524,0.001845483,7.078,0.081,21.71
05/23/2024,"22,967.65",0.0004594,"1,95,213",0.00487,83.083,-0.005293908,7.095,0.017,21.38
05/22/2024,"22,597.80",-0.0162341,"1,94,119",-0.00562,83.424,0.00409593,7.076,-0.019,21.4675
05/21/2024,"22,529.05",-0.003047,"1,95,277",0.00595,83.28,-0.001727613,7.086,0.01,21.81
05/18/2024,"22,502.00",-0.0012014,"1,94,807",-0.00241,83.34,0.000720202,7.109,0.023,20.525
05/17/2024,"22,466.10",-0.0015967,"1,96,374",0.00801,83.16,-0.002162163,7.116,0.007,19.7975
05/16/2024,"22,403.85",-0.0027747,"1,95,351",-0.00522,83.102,-0.000697694,7.127,0.011,19.995
05/15/2024,"22,200.55",-0.0091158,"1,93,832",-0.00781,83.06,-0.000505531,7.135,0.008,20.2725
05/14/2024,"22,217.85",0.000779,"1,93,853",0.00011,83.24,0.002164763,7.138,0.003,20.195
05/13/2024,"22,104.05",-0.0051352,"1,97,916",0.02074,83.22,-0.000240298,7.129,-0.009,20.6
05/10/2024,"22,055.20",-0.0022124,"2,01,543",0.01816,83.25,0.000360425,7.108,-0.021,18.4725
05/09/2024,"21,957.50",-0.0044396,"2,02,041",0.00247,83.28,0.000360295,7.149,0.041,18.2
05/08/2024,"22,302.50",0.01559,"2,01,112",-0.00461,83.28,0,7.162,0.013,17.08
05/07/2024,"22,302.50",0,"1,98,279",-0.01419,83.45,0.002039226,7.195,0.033,17.0075
05/06/2024,"22,442.70",0.0062666,"1,98,997",0.00361,83.411,-0.000467455,7.196,0.001,16.6
05/03/2024,"22,475.85",0.001476,"1,96,772",-0.01124,83.482,0.000850845,7.199,0.003,14.6175
05/02/2024,"22,648.20",0.007639,"1,94,960",-0.00925,83.46,-0.000263565,7.204,0.005,13.445
04/30/2024,"22,604.85",-0.0019159,"1,97,169",0.01127,83.541,0.000970054,7.186,-0.018,12.87
04/29/2024,"22,643.40",0.0017039,"1,95,775",-0.0071,83.441,-0.001197734,7.167,-0.019,12.235
04/26/2024,"22,419.95",-0.0099172,"1,92,614",-0.01628,83.462,0.000251643,7.192,0.025,10.925
04/25/2024,"22,570.35",0.0066859,"1,93,132",0.00269,83.458,-4.79E-05,7.225,0.033,10.73
04/24/2024,"22,402.40",-0.007469,"1,93,976",0.00436,83.48,0.000263571,7.18,-0.045,10.275
04/23/2024,"22,368.00",-0.0015367,"1,91,976",-0.01036,83.376,-0.001246584,7.193,0.013,10.195
04/22/2024,"22,336.40",-0.0014137,"1,92,126",0.00078,83.435,0.000707387,7.175,-0.018,12.7
04/19/2024,"22,147.00",-0.0085156,"1,93,545",0.00736,83.455,0.000239679,7.179,0.004,13.4575
04/18/2024,"21,995.85",-0.0068482,"1,90,744",-0.01458,83.45,-5.99E-05,7.116,-0.063,13.04
04/16/2024,"22,147.90",0.0068889,"1,94,788",0.02098,83.41,-0.000479444,7.154,0.038,12.615
04/15/2024,"22,272.50",0.00561,"1,94,934",0.00075,83.4,-0.000119897,7.117,-0.037,12.4675
04/12/2024,"22,519.40",0.0110244,"1,94,245",-0.00354,83.31,-0.001079719,7.094,-0.023,11.5325
04/10/2024,"22,753.80",0.010355,"1,92,933",-0.00678,83.319,0.000108024,7.104,0.01,11.1075
04/09/2024,"22,642.75",-0.0048925,"1,93,333",0.00207,83.269,-0.000600283,7.108,0.004,11.355
04/08/2024,"22,666.30",0.0010395,"1,93,945",0.00316,83.36,0.001092247,7.052,-0.056,11.61
04/05/2024,"22,513.70",-0.0067552,"1,99,341",0.02744,83.358,-2.40E-05,7.072,0.02,11.3375
04/04/2024,"22,514.65",0.0000422,"1,98,703",-0.00321,83.53,0.002061263,7.089,0.017,11.22
04/03/2024,"22,434.65",-0.0035596,"1,97,346",-0.00685,83.65,0.001435579,7.087,-0.002,11.3725
04/02/2024,"22,453.30",0.000831,"1,99,256",0.00963,83.637,-0.000155422,7.05,-0.037,11.6525
04/01/2024,"22,462.00",0.0003874,"1,98,858",-0.002,83.484,-0.001831009,7.097,0.047,12.0825
03/28/2024,"22,326.90",-0.0060328,"1,95,750",-0.01575,83.54,0.000670562,7.095,-0.002,12.8325
03/27/2024,"22,123.65",-0.0091451,"1,97,643",0.00962,83.324,-0.002588936,7.087,-0.008,12.7025
03/26/2024,"22,004.70",-0.0053911,"1,94,560",-0.01572,83.389,0.000779783,7.062,-0.025,12.82
03/22/2024,"22,096.75",0.0041745,"1,95,692",0.0058,83.182,-0.002485428,7.041,-0.021,12.22
03/21/2024,"22,011.95",-0.0038451,"1,94,747",-0.00484,83.27,0.001057362,7.039,-0.002,12.5125
03/20/2024,"21,839.10",-0.0078835,"1,94,024",-0.00372,83.293,0.000276172,7.026,-0.013,13.4725
03/19/2024,"21,817.45",-0.0009918,"1,90,854",-0.01647,83.34,0.000564114,7.014,-0.012,14.1125
03/18/2024,"22,055.70",0.010861,"1,91,971",0.00584,83.504,0.001965909,7.031,0.017,13.895
03/15/2024,"22,023.35",-0.0014678,"1,89,973",-0.01046,83.322,-0.002181915,7.054,0.023,13.69
03/14/2024,"22,146.65",0.005583,"1,87,693",-0.01207,83.36,0.000455958,7.057,0.003,13.6225
03/13/2024,"21,997.70",-0.0067483,"1,86,069",-0.00869,83.35,-0.000119969,7.06,0.003,14.4325
03/12/2024,"22,335.70",0.0152484,"1,86,174",0.00056,83.352,2.40E-05,7.06,0,13.6375
03/11/2024,"22,332.65",-0.0001366,"1,82,768",-0.01846,83.294,-0.000696086,7.078,0.018,13.995
03/07/2024,"22,493.55",0.0071789,"1,81,483",-0.00706,83.309,0.000180069,7.065,-0.013,13.6125
03/06/2024,"22,474.05",-0.0008673,"1,81,117",-0.00202,83.405,0.001151673,7.068,0.003,14.295
03/05/2024,"22,356.30",-0.0052531,"1,80,954",-0.0009,83.582,0.002119926,7.063,-0.005,14.38
03/04/2024,"22,405.60",0.0022028,"1,81,391",0.00241,83.174,-0.004893387,7.077,0.014,14.9225
03/02/2024,"22,378.40",-0.0012147,"1,81,799",0.00225,83.173,-1.20E-05,7.062,-0.015,14.9925
03/01/2024,"22,338.75",-0.0017734,"1,79,056",-0.0152,83.007,-0.001997834,7.045,-0.017,15.235
02/29/2024,"21,982.80",-0.0160625,"1,79,059",0.00002,82.9,-0.001289879,7.062,0.017,15.5725
02/28/2024,"21,951.15",-0.0014408,"1,78,658",-0.00224,82.883,-0.000205087,7.099,0.037,16.33
02/27/2024,"22,198.35",0.0111984,"1,79,249",0.0033,82.915,0.000386012,7.085,-0.014,15.7275
02/26/2024,"22,122.05",-0.0034431,"1,79,988",0.00411,82.82,-0.001146409,7.114,0.029,15.6
02/23/2024,"22,212.70",0.0040893,"1,78,662",-0.00739,82.786,-0.000410613,7.097,-0.017,14.9725
02/22/2024,"22,217.45",0.0002138,"1,80,530",0.0104,82.72,-0.000797554,7.097,0,15.1975
02/21/2024,"22,055.05",-0.0073364,"1,80,145",-0.00213,82.739,0.000229664,7.114,0.017,15.9275
02/20/2024,"22,196.95",0.0064133,"1,78,538",-0.00896,82.708,-0.000374742,7.082,-0.032,16.0725
02/19/2024,"22,122.25",-0.003371,"1,77,805",-0.00411,82.78,0.000870154,7.074,-0.008,16.0175
02/16/2024,"22,040.70",-0.0036931,"1,76,341",-0.00827,82.891,0.001340005,7.092,0.018,15.2225
02/15/2024,"21,910.75",-0.0059134,"1,75,248",-0.00622,82.911,0.000241252,7.091,-0.001,15.225
02/14/2024,"21,840.05",-0.0032319,"1,72,590",-0.01528,82.841,-0.000844635,7.05,-0.041,15.435
02/13/2024,"21,743.25",-0.0044421,"1,69,428",-0.01849,82.9,0.000711954,7.064,0.014,15.8075
02/12/2024,"21,616.05",-0.0058673,"1,68,625",-0.00475,82.9,0,7.144,0.08,16.0625
02/09/2024,"21,782.50",0.0076708,"1,68,244",-0.00226,82.877,-0.000277481,7.155,0.011,15.4475
02/08/2024,"21,717.95",-0.0029678,"1,68,243",-0.00001,82.846,-0.000374118,7.171,0.016,15.8275
02/07/2024,"21,930.50",0.0097393,"1,68,678",0.00258,82.859,0.000156905,7.171,0,15.505
02/06/2024,"21,929.40",-0.0000502,"1,67,663",-0.00604,82.837,-0.000265547,7.181,0.01,15.785
02/05/2024,"21,771.70",-0.0072172,"1,67,997",0.00199,82.93,0.001122057,7.174,-0.007,15.6175
02/02/2024,"21,853.80",0.0037639,"1,67,771",-0.00135,82.89,-0.000482451,7.184,0.01,14.6975
02/01/2024,"21,697.45",-0.0071801,"1,67,408",-0.00217,83.026,0.001639384,7.178,-0.006,14.455
01/31/2024,"21,725.70",0.0013011,"1,67,114",-0.00176,83.013,-0.00015659,7.163,-0.015,16.0475
01/30/2024,"21,522.10",-0.0094156,"1,66,270",-0.00506,82.988,-0.000301203,7.146,-0.017,16.1025
01/29/2024,"21,737.60",0.0099632,"1,65,395",-0.00528,83.034,0.000554143,7.148,0.002,15.68
01/25/2024,"21,352.60",-0.01787,"1,65,596",0.00121,83.098,0.000770472,7.178,0.03,13.865
01/24/2024,"21,453.95",0.0047353,"1,67,576",0.01189,82.97,-0.001541538,7.165,-0.013,14.375
01/23/2024,"21,238.80",-0.0100791,"1,68,005",0.00256,83,0.000361511,7.178,0.013,14.8525
01/20/2024,"21,571.80",0.0155572,"1,68,775",0.00457,82.978,-0.000265095,7.189,0.011,13.715
01/19/2024,"21,622.40",0.0023429,"1,68,845",0.00041,82.977,-1.21E-05,7.203,0.014,13.8775
01/18/2024,"21,462.25",-0.0074342,"1,69,092",0.00146,83.062,0.001023856,7.235,0.032,14.07
01/17/2024,"21,571.95",0.0050983,"1,68,116",-0.00579,83.036,-0.000313068,7.22,-0.015,15.08
01/16/2024,"22,032.30",0.0211157,"1,69,201",0.00643,82.999,-0.000445689,7.216,-0.004,13.5725
01/15/2024,"22,097.45",0.0029527,"1,70,405",0.00709,82.947,-0.00062671,7.206,-0.01,13.785
01/12/2024,"21,894.55",-0.0092245,"1,69,443",-0.00566,83.095,0.001782682,7.196,-0.01,13.1
01/11/2024,"21,647.20",-0.0113616,"1,69,280",-0.00096,83.12,0.000300815,7.176,-0.02,12.7675
01/10/2024,"21,618.70",-0.0013174,"1,68,957",-0.00191,83.134,0.000168417,7.207,0.031,12.97
01/09/2024,"21,544.85",-0.0034219,"1,67,754",-0.00715,83.115,-0.000228573,7.205,-0.002,13.2625
01/08/2024,"21,513.00",-0.0014794,"1,67,919",0.00098,83.144,0.000348853,7.183,-0.022,13.4625
